invoice_id,customer,date,amount_paid,quantity_received
INV0001,Nykaa,2025-10-07,7695.0,68
INV0002,Reliance,2025-12-02,25842.75,326
INV0003,BigBasket,2025-10-27,13344.0,133
INV0004,Nykaa,2026-02-17,9210.0,80
INV0005,BigBasket,2026-01-17,12685.0,155
INV0006,BigBasket,2025-10-24,12702.0,126
INV0007,BigBasket,2026-02-07,14677.0,86
INV0008,Nykaa,2026-02-21,4585.0,62
INV0009,BigBasket,2026-03-16,11164.0,148
INV0010,Reliance,2026-01-16,20459.0,179
INV0011,BigBasket,2026-02-28,18103.0,133
INV0012,DMart,2025-10-02,18243.0,128
INV0013,Reliance,2025-11-10,22278.0,255
INV0014,Nykaa,2025-12-27,5388.0,75
INV0015,DMart,2025-11-25,15837.0,169
INV0016,Flipkart,2025-12-26,9676.0,150
INV0017,BigBasket,2026-01-06,13962.0,110
INV0018,BigBasket,2025-12-28,16303.0,105
INV0019,Nykaa,2025-10-12,7266.72,42
INV0020,Reliance,2026-02-15,18359.0,259
INV0021,BigBasket,2026-01-05,16067.0,144
INV0022,BigBasket,2025-12-15,13676.0,131
INV0023,Reliance,2026-03-08,17607.0,214
INV0024,Flipkart,2026-01-01,9516.2,133
INV0025,Nykaa,2026-03-30,7458.17,45
INV0026,BigBasket,2026-03-19,14911.02,129
INV0027,BigBasket,2025-12-14,11125.06,157
INV0028,Flipkart,2025-11-29,13268.0,130
INV0029,Flipkart,2026-01-06,9153.0,103
INV0031,Reliance,2025-11-11,22604.0,240
INV0032,DMart,2025-11-23,14017.0,136
INV0033,Nykaa,2026-03-29,8137.0,88
INV0034,Flipkart,2026-03-15,9513.72,132
INV0035,BigBasket,2026-03-12,15012.0,121
INV0036,BigBasket,2025-12-02,15011.0,183
INV0037,BigBasket,2026-01-06,13899.0,183
INV0038,DMart,2026-03-13,8568.0,209
INV0039,Nykaa,2025-11-26,7121.0,65
INV0040,Nykaa,2025-10-15,7128.0,42
INV0042,Reliance,2026-01-11,32389.0,224
INV0043,DMart,2025-11-24,15089.0,161
INV0044,Flipkart,2026-02-23,13013.0,117
INV0045,Flipkart,2025-12-20,9834.0,121
INV0046,BigBasket,2026-02-05,14271.0,167
INV0047,DMart,2026-03-14,15472.0,168
INV0048,DMart,2025-12-07,16588.0,127
INV0049,BigBasket,2026-02-21,14829.0,147
INV0050,Nykaa,2026-02-27,7007.0,62
INV0051,DMart,2026-02-27,11138.2,164
INV0052,DMart,2025-11-26,16766.0,129
INV0053,Flipkart,2025-11-05,10645.0,118
INV0054,Nykaa,2025-10-24,9640.0,72
INV0055,Reliance,2025-10-29,26287.0,216
INV0056,BigBasket,2025-11-10,8627.0,139
INV0057,Reliance,2026-01-17,25301.0,373
INV0058,Nykaa,2026-01-07,6730.0,74
INV0059,DMart,2026-01-28,17875.0,137
INV0060,Nykaa,2026-02-19,8599.0,80
INV0061,Flipkart,2025-10-03,12740.0,89
INV0062,Nykaa,2025-10-30,7848.95,50
INV0063,Nykaa,2026-02-15,7821.0,100
INV0064,Reliance,2026-03-14,20023.02,221
INV0065,DMart,2025-12-15,18358.0,146
INV0066,DMart,2026-01-25,12417.0,157
INV0067,BigBasket,2025-12-07,11025.0,153
INV0068,Flipkart,2025-11-15,6829.12,144
INV0069,Nykaa,2025-10-28,5903.0,65
INV0070,Flipkart,2025-12-16,12789.0,82
INV0071,Reliance,2026-02-07,26137.0,315
INV0072,Nykaa,2025-11-09,4749.0,72
INV0074,Nykaa,2026-02-13,5268.0,51
INV0075,Flipkart,2026-03-03,11600.17,116
INV0076,DMart,2025-10-05,18901.0,192
INV0079,BigBasket,2025-12-01,19224.0,152
INV0080,Flipkart,2025-10-21,8379.0,124
INV0081,BigBasket,2026-02-02,11270.0,146
INV0082,Reliance,2026-02-14,30792.0,208
INV0083,Reliance,2025-11-02,29816.0,270
INV0084,Nykaa,2026-02-18,8150.0,84
INV0085,BigBasket,2026-02-13,13312.0,106
INV0086,Flipkart,2026-01-17,7563.62,92
INV0087,Flipkart,2026-02-16,10830.0,117
INV0088,Reliance,2026-03-26,28159.92,291
INV0089,BigBasket,2025-12-19,14036.0,180
INV0090,DMart,2026-03-21,16439.29,277
INV0091,Nykaa,2026-01-21,7875.0,57
INV0092,Flipkart,2026-01-24,8644.0,120
INV0093,BigBasket,2025-11-27,13374.0,159
INV0094,BigBasket,2025-10-06,15325.0,137
INV0095,Nykaa,2025-11-28,5814.0,48
INV0096,Nykaa,2025-10-02,5214.35,81
INV0097,BigBasket,2026-03-11,14599.0,105
INV0098,BigBasket,2025-10-18,11587.99,150
INV0099,Flipkart,2025-12-24,9055.0,113
INV0100,BigBasket,2025-11-30,14162.0,107
INV0101,DMart,2026-02-02,14534.55,200
INV0102,BigBasket,2025-11-03,17032.0,169
INV0103,Reliance,2026-02-24,18111.0,203
INV0104,Nykaa,2025-12-02,7721.0,77
INV0105,Reliance,2026-01-13,27575.0,442
INV0106,BigBasket,2025-10-25,15598.0,171
INV0107,Nykaa,2025-12-30,8335.0,79
INV0108,DMart,2026-01-28,16865.0,207
INV0109,Flipkart,2025-10-14,9299.0,104
INV0110,Nykaa,2026-03-15,4794.52,71
INV0111,BigBasket,2026-01-12,20481.0,87
INV0112,Reliance,2025-10-28,28431.0,169
INV0113,BigBasket,2025-11-18,12678.0,170
INV0114,Nykaa,2025-11-05,7089.0,54
INV0115,DMart,2025-12-11,15424.0,204
INV0116,DMart,2025-10-20,15370.0,187
INV0117,DMart,2026-02-18,14389.45,156
INV0118,BigBasket,2026-03-16,20003.0,157
INV0119,Flipkart,2025-10-04,6544.0,114
INV0120,Flipkart,2025-11-30,9567.1,128
INV0121,BigBasket,2026-02-02,11780.0,128
INV0122,DMart,2026-01-11,19817.0,211
INV0124,DMart,2026-01-08,16290.0,156
INV0125,DMart,2026-01-25,21134.4,194
INV0126,DMart,2026-03-28,13460.0,213
INV0127,Flipkart,2026-02-20,15668.0,131
INV0128,Nykaa,2026-02-02,4872.0,63
INV0129,BigBasket,2025-12-15,17545.75,120
INV0130,BigBasket,2025-10-15,15217.84,161
INV0131,Nykaa,2026-02-16,5711.62,69
INV0132,BigBasket,2025-12-20,4924.0,111
INV0133,BigBasket,2026-02-27,13292.0,105
INV0134,DMart,2026-02-13,23876.0,128
INV0135,BigBasket,2026-02-08,11706.08,143
INV0136,BigBasket,2025-11-17,18035.0,99
INV0137,BigBasket,2025-10-18,17256.0,140
INV0138,Nykaa,2025-11-30,5625.0,68
INV0139,DMart,2026-02-23,18716.0,158
INV0140,BigBasket,2026-03-02,14195.0,129
INV0141,BigBasket,2025-10-21,14317.0,158
INV0142,DMart,2026-02-27,21841.89,135
INV0143,Nykaa,2025-12-20,9986.0,42
INV0144,Flipkart,2025-11-22,11206.86,122
INV0145,Nykaa,2025-12-20,7393.0,61
INV0146,BigBasket,2026-01-10,13417.0,126
INV0147,BigBasket,2026-03-15,12349.0,163
INV0148,DMart,2025-12-20,19285.0,155
INV0149,Flipkart,2025-10-19,12979.0,101
INV0150,BigBasket,2026-03-09,16276.0,148
INV0151,Flipkart,2025-10-26,7444.65,97
INV0152,BigBasket,2025-11-24,16116.29,157
INV0153,Nykaa,2025-11-03,6970.0,71
INV0154,Flipkart,2025-10-18,13810.0,96
INV0155,Flipkart,2026-01-03,9854.01,105
INV0156,DMart,2026-01-21,14466.45,219
INV0157,Reliance,2026-03-30,29127.0,290
INV0158,DMart,2026-03-17,22699.0,180
INV0159,Nykaa,2026-03-20,7954.0,65
INV0160,Reliance,2025-12-16,26620.0,243
INV0161,Flipkart,2025-10-27,11608.39,123
INV0162,Flipkart,2025-11-04,9746.9,156
INV0163,DMart,2025-10-28,13802.69,136
INV0164,Reliance,2025-11-09,27887.42,289
INV0165,DMart,2026-03-04,20246.0,202
INV0166,BigBasket,2025-12-27,13965.0,114
INV0167,BigBasket,2026-03-12,14212.0,121
INV0168,Flipkart,2026-02-07,12715.18,106
INV0169,DMart,2025-10-14,15681.87,168
INV0170,BigBasket,2026-01-17,15202.55,124
INV0171,Reliance,2025-10-12,20888.0,262
INV0172,BigBasket,2025-11-03,14685.0,125
INV0173,Nykaa,2025-12-07,6058.66,73
INV0174,BigBasket,2026-01-22,9945.0,100
INV0175,Nykaa,2026-01-18,5994.0,67
