invoice_id,customer,date,amount,quantity
INV0001,Nykaa,2025-10-07,7695,68
INV0002,Reliance,2025-12-02,28238,326
INV0003,BigBasket,2025-10-27,13344,133
INV0004,Nykaa,2026-02-17,9210,80
INV0005,BigBasket,2026-01-17,12685,155
INV0006,BigBasket,2025-10-24,12702,126
INV0007,BigBasket,2026-02-07,14677,86
INV0008,Nykaa,2026-02-21,4585,62
INV0009,BigBasket,2026-03-16,11164,148
INV0010,Reliance,2026-01-16,20459,179
INV0011,BigBasket,2026-02-28,18103,133
INV0012,DMart,2025-10-02,18243,128
INV0013,Reliance,2025-11-10,22278,255
INV0014,Nykaa,2025-12-27,5388,75
INV0015,DMart,2025-11-25,15837,169
INV0016,Flipkart,2025-12-26,9676,150
INV0017,BigBasket,2026-01-06,13962,110
INV0018,BigBasket,2025-12-28,16303,105
INV0019,Nykaa,2025-10-12,7292,42
INV0020,Reliance,2026-02-15,18359,259
INV0021,BigBasket,2026-01-05,16067,144
INV0022,BigBasket,2025-12-15,13676,131
INV0023,Reliance,2026-03-08,17607,214
INV0024,Flipkart,2026-01-01,9986,133
INV0025,Nykaa,2026-03-30,7481,45
INV0026,BigBasket,2026-03-19,14907,129
INV0027,BigBasket,2025-12-14,12104,157
INV0028,Flipkart,2025-11-29,13268,130
INV0029,Flipkart,2026-01-06,9153,103
INV0030,DMart,2026-03-12,19192,215
INV0031,Reliance,2025-11-11,22604,240
INV0032,DMart,2025-11-23,14017,136
INV0033,Nykaa,2026-03-29,8137,88
INV0034,Flipkart,2026-03-15,10841,132
INV0035,BigBasket,2026-03-12,15012,121
INV0036,BigBasket,2025-12-02,15011,183
INV0037,BigBasket,2026-01-06,13899,183
INV0038,DMart,2026-03-13,8568,209
INV0039,Nykaa,2025-11-26,7121,65
INV0040,Nykaa,2025-10-15,7128,42
INV0041,BigBasket,2025-10-09,13384,149
INV0042,Reliance,2026-01-11,32389,224
INV0043,DMart,2025-11-24,15089,161
INV0044,Flipkart,2026-02-23,13013,117
INV0045,Flipkart,2025-12-20,9834,121
INV0046,BigBasket,2026-02-05,14271,167
INV0047,DMart,2026-03-14,15472,168
INV0048,DMart,2025-12-07,16588,127
INV0049,BigBasket,2026-02-21,14829,147
INV0050,Nykaa,2026-02-27,7007,66
INV0051,DMart,2026-02-27,12904,164
INV0052,DMart,2025-11-26,16766,151
INV0053,Flipkart,2025-11-05,10645,118
INV0054,Nykaa,2025-10-24,9640,72
INV0055,Reliance,2025-10-29,26287,246
INV0056,BigBasket,2025-11-10,8627,139
INV0057,Reliance,2026-01-17,25301,373
INV0058,Nykaa,2026-01-07,6730,74
INV0059,DMart,2026-01-28,17875,137
INV0060,Nykaa,2026-02-19,8599,80
INV0061,Flipkart,2025-10-03,12740,89
INV0062,Nykaa,2025-10-30,8963,50
INV0063,Nykaa,2026-02-15,7821,100
INV0064,Reliance,2026-03-14,20047,221
INV0065,DMart,2025-12-15,18358,161
INV0066,DMart,2026-01-25,12417,182
INV0067,BigBasket,2025-12-07,11025,153
INV0068,Flipkart,2025-11-15,8977,144
INV0069,Nykaa,2025-10-28,5903,65
INV0070,Flipkart,2025-12-16,12789,82
INV0071,Reliance,2026-02-07,26137,315
INV0072,Nykaa,2025-11-09,4749,72
INV0073,DMart,2025-11-11,18935,208
INV0074,Nykaa,2026-02-13,5268,51
INV0075,Flipkart,2026-03-03,12148,116
INV0076,DMart,2025-10-05,18901,192
INV0077,BigBasket,2026-01-01,12095,146
INV0078,Flipkart,2025-12-18,11644,94
INV0079,BigBasket,2025-12-01,19224,153
INV0080,Flipkart,2025-10-21,8379,124
INV0081,BigBasket,2026-02-02,11270,162
INV0082,Reliance,2026-02-14,30792,208
INV0083,Reliance,2025-11-02,29816,270
INV0084,Nykaa,2026-02-18,8150,96
INV0085,BigBasket,2026-02-13,13312,118
INV0086,Flipkart,2026-01-17,9043,92
INV0087,Flipkart,2026-02-16,10830,117
INV0088,Reliance,2026-03-26,26383,291
INV0089,BigBasket,2025-12-19,14036,180
INV0090,DMart,2026-03-21,17047,277
INV0091,Nykaa,2026-01-21,7875,57
INV0092,Flipkart,2026-01-24,8644,120
INV0093,BigBasket,2025-11-27,13374,159
INV0094,BigBasket,2025-10-06,15325,137
INV0095,Nykaa,2025-11-28,5814,48
INV0096,Nykaa,2025-10-02,6374,81
INV0097,BigBasket,2026-03-11,14599,105
INV0098,BigBasket,2025-10-18,14484,150
INV0099,Flipkart,2025-12-24,9055,113
INV0100,BigBasket,2025-11-30,14162,107
INV0101,DMart,2026-02-02,19288,200
INV0102,BigBasket,2025-11-03,17032,169
INV0103,Reliance,2026-02-24,18111,203
INV0104,Nykaa,2025-12-02,7721,77
INV0105,Reliance,2026-01-13,27575,442
INV0106,BigBasket,2025-10-25,15598,171
INV0107,Nykaa,2025-12-30,8335,79
INV0108,DMart,2026-01-28,16865,207
INV0109,Flipkart,2025-10-14,9299,104
INV0110,Nykaa,2026-03-15,6320,71
INV0111,BigBasket,2026-01-12,20481,87
INV0112,Reliance,2025-10-28,28431,169
INV0113,BigBasket,2025-11-18,12678,170
INV0114,Nykaa,2025-11-05,7089,54
INV0115,DMart,2025-12-11,15424,204
INV0116,DMart,2025-10-20,15370,187
INV0117,DMart,2026-02-18,18164,156
INV0118,BigBasket,2026-03-16,20003,157
INV0119,Flipkart,2025-10-04,6544,114
INV0120,Flipkart,2025-11-30,9544,128
INV0121,BigBasket,2026-02-02,11780,136
INV0122,DMart,2026-01-11,19817,211
INV0123,Flipkart,2025-11-12,8359,102
INV0124,DMart,2026-01-08,16290,156
INV0125,DMart,2026-01-25,24355,194
INV0126,DMart,2026-03-28,13460,213
INV0127,Flipkart,2026-02-20,15668,132
INV0128,Nykaa,2026-02-02,4872,63
INV0129,BigBasket,2025-12-15,17547,120
INV0130,BigBasket,2025-10-15,15242,161
INV0131,Nykaa,2026-02-16,5702,69
INV0132,BigBasket,2025-12-20,4924,111
INV0133,BigBasket,2026-02-27,13292,105
INV0134,DMart,2026-02-13,23876,128
INV0135,BigBasket,2026-02-08,12767,143
INV0136,BigBasket,2025-11-17,18035,99
INV0137,BigBasket,2025-10-18,17256,140
INV0138,Nykaa,2025-11-30,5625,76
INV0139,DMart,2026-02-23,18716,158
INV0140,BigBasket,2026-03-02,14195,129
INV0141,BigBasket,2025-10-21,14317,158
INV0142,DMart,2026-02-27,23709,135
INV0143,Nykaa,2025-12-20,9986,42
INV0144,Flipkart,2025-11-22,10666,122
INV0145,Nykaa,2025-12-20,7393,61
INV0146,BigBasket,2026-01-10,13417,126
INV0147,BigBasket,2026-03-15,12349,163
INV0148,DMart,2025-12-20,19285,155
INV0149,Flipkart,2025-10-19,12979,116
INV0150,BigBasket,2026-03-09,16276,157
INV0151,Flipkart,2025-10-26,9176,97
INV0152,BigBasket,2025-11-24,16092,157
INV0153,Nykaa,2025-11-03,6970,71
INV0154,Flipkart,2025-10-18,13810,96
INV0155,Flipkart,2026-01-03,12203,105
INV0156,DMart,2026-01-21,17216,219
INV0157,Reliance,2026-03-30,29127,290
INV0158,DMart,2026-03-17,22699,180
INV0159,Nykaa,2026-03-20,7954,65
INV0160,Reliance,2025-12-16,26620,243
INV0161,Flipkart,2025-10-27,11213,123
INV0162,Flipkart,2025-11-04,9199,156
INV0163,DMart,2025-10-28,14378,136
INV0164,Reliance,2025-11-09,30790,289
INV0165,DMart,2026-03-04,20246,202
INV0166,BigBasket,2025-12-27,13965,114
INV0167,BigBasket,2026-03-12,14212,121
INV0168,Flipkart,2026-02-07,13145,106
INV0169,DMart,2025-10-14,15028,168
INV0170,BigBasket,2026-01-17,15156,124
INV0171,Reliance,2025-10-12,20888,262
INV0172,BigBasket,2025-11-03,14685,125
INV0173,Nykaa,2025-12-07,6340,73
INV0174,BigBasket,2026-01-22,9945,100
INV0175,Nykaa,2026-01-18,5994,67
INV0176,Nykaa,2025-10-29,7435,90
INV0177,BigBasket,2026-03-26,16401,135
INV0178,Flipkart,2026-02-17,10958,87
INV0179,BigBasket,2026-01-03,13948,131
INV0180,Nykaa,2025-11-07,7451,58
INV0181,DMart,2025-10-11,19869,235
INV0182,DMart,2025-10-11,17608,194
INV0183,Flipkart,2025-11-23,12518,101
INV0184,Nykaa,2026-03-20,7313,70
